apk,category,violation_type,is_violation,config1,config2,aql_timer,ast_changes,bad_aql_runs_binary,bad_aql_runs_hdd,bad_compile_runs_binary,bad_compile_runs_hdd,binary_timer,compile_timer,end_line_count,good_aql_runs_binary,good_aql_runs_hdd,good_compile_runs_binary,good_compile_runs_hdd,hdd_timer,jdeps_timer,method_timer,program_timer,rejected_changes,setup_timer,start_line_count,time_bad_aql_runs_binary,time_bad_aql_runs_hdd,time_bad_compile_runs_binary,time_bad_compile_runs_hdd,time_good_aql_runs_binary,time_good_aql_runs_hdd,time_good_compile_runs_binary,time_good_compile_runs_hdd,total_rotations
RegisterGlobal2,Callbacks,TRUE,TRUE,3b2fa3b6cabf78f17a288ce1c8f84595,8c2f49cd67cbce790bfe5e2a3cf6ad87,0,17,0,5,0,8,88,0,34,1,3,1,8,882,5,0,1090,19,119,50,0,66,0,356,12,44,50,414,2
Singletons1,InterComponentCommunication,TRUE,TRUE,7196205eb13a717874272a12b099976f,1ef9d1d10bc982ab49d3b8eaf4409c05,0,30,3,6,0,15,446,0,32,3,3,6,9,1042,5,0,1595,33,105,41,36,85,0,701,45,48,327,206,2
ActivityCommunication3,InterComponentCommunication,TRUE,TRUE,710aa5265c13ae4bad533ccb30798a01,b6e0326d94af6e730acbedd03ff773f7,0,30,2,12,0,16,255,0,49,0,0,2,12,1337,4,0,1646,50,53,49,29,191,0,749,0,0,170,394,1
RegisterGlobal1,Callbacks,TRUE,TRUE,3b2fa3b6cabf78f17a288ce1c8f84595,8c2f49cd67cbce790bfe5e2a3cf6ad87,0,59,1,10,0,43,71,0,50,0,5,1,15,2064,5,0,2216,97,79,97,15,133,0,1279,0,75,24,574,2
Button5,Callbacks,TRUE,TRUE,c167cc6905f08070a40daaa496572761,2ad899a874034fecfd0f757a7d70db3e,0,16,0,7,0,8,94,0,20,0,1,0,8,1571,4,0,1762,21,96,21,0,113,0,677,0,15,0,763,2
ServiceLifecycle1,Lifecycle,TRUE,TRUE,de67f959377c84f91410206a10b57495,22562e10e3112e5c53f176bb1d80413c,0,13,0,2,0,11,19,0,24,0,0,0,2,548,5,0,628,18,59,24,0,26,0,467,0,0,0,54,1
AnonymousClass1,Callbacks,TRUE,TRUE,4927839d0bfc64be8099aac544fbadfd,c35ed0b7f9c3d443ecacff168d0a98c6,0,46,0,19,0,21,102,0,37,1,5,1,24,4305,5,0,4561,85,152,42,0,279,0,1668,20,87,42,2269,4
Reflection1,Reflection,TRUE,TRUE,7baaab9e231dd6adfa7d2d5ed04ed0e8,c35ed0b7f9c3d443ecacff168d0a98c6,0,26,2,2,0,14,306,0,28,2,6,4,8,991,5,0,1325,29,26,41,25,25,0,514,30,90,160,360,2
Exceptions3,GeneralJava,FALSE,TRUE,c167cc6905f08070a40daaa496572761,b113be2d9166c32182a638bbebda617a,0,18,0,14,0,4,58,0,23,0,0,0,14,954,4,0,1045,29,32,23,0,189,0,161,0,0,0,602,1
VirtualDispatch1,GeneralJava,FALSE,TRUE,9e71d1dbb7f99254dd5f81811f612f41,691c8aee3c8122ba7071c39842bf3a89,0,39,3,18,0,18,160,0,50,0,0,3,18,1545,4,0,1728,57,22,50,36,249,0,680,0,0,87,615,1
StringFormatter1,GeneralJava,TRUE,TRUE,c167cc6905f08070a40daaa496572761,b113be2d9166c32182a638bbebda617a,0,24,0,5,0,17,28,0,16,0,2,0,7,891,4,0,973,45,52,19,0,67,0,527,0,32,0,263,2
Exceptions4,GeneralJava,TRUE,TRUE,c35ed0b7f9c3d443ecacff168d0a98c6,607ec35eb44d00467d94df062d65907a,0,5,0,2,0,2,62,0,19,0,1,0,3,7450,4,0,7554,7,42,20,0,7215,0,33,0,15,0,185,1
